Message,Label,Note
Nước dâng nhanh quá,High,
Lũ bao vây rồi,High,
Kẹt trong nhà,Critical,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Kẹt lũ cứu gấp,Critical,
Lũ bao vây rồi,High,
Có người già kẹt,Critical,
Ngập sâu cứu hộ,Critical,
Điện cắt rồi,Medium,
Điện cắt rồi,Medium,
Không thoát được,Critical,
Nhà ngập rồi cứu,Critical,
Có trẻ nhỏ cứu,High,
Không thoát được,Critical,
Điện cắt rồi,Medium,
Lũ mạnh quá,High,
Lũ mạnh quá,High,
Không liên lạc được,Medium,
Kẹt trong nhà,Critical,
Nguy hiểm quá,Critical,
Kẹt lũ cứu gấp,Critical,
Xin cứu gấp,Critical,
Nước lên nhanh,High,
Nhà chìm nước,Critical,
Kẹt lũ cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Kẹt cả nhà,Critical,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Không liên lạc được,Medium,
Nước lên nhanh,High,
Lũ mạnh quá,High,
Lũ bao vây rồi,High,
Có trẻ nhỏ cứu,High,
Ngập tới gối rồi,Medium,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Nước dâng nhanh quá,High,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Kẹt cả nhà,Critical,
Kẹt cả nhà,Critical,
Lũ mạnh quá,High,
Nhà chìm nước,Critical,
Lũ bao vây rồi,High,
Nhà ngập rồi cứu,Critical,
Ngập tới gối rồi,Medium,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Kẹt cả nhà,Critical,
Không liên lạc được,Medium,
Nước dâng nhanh quá,High,
Lũ mạnh quá,High,
Ngập tới gối rồi,Medium,
Ngập tới gối rồi,Medium,
Kẹt trong nhà,Critical,
Cứu với lũ lớn,High,
Không thoát được,Critical,
Không liên lạc được,Medium,
Nhà chìm nước,Critical,
Nước lên nhanh,High,
Nhà chìm nước,Critical,
Có trẻ nhỏ cứu,High,
Nước dâng nhanh quá,High,
Có trẻ nhỏ cứu,High,
Nước vào nhà,High,
Lũ mạnh quá,High,
Nguy hiểm quá,Critical,
Kẹt lũ cứu gấp,Critical,
Nước dâng nhanh quá,High,
Điện cắt rồi,Medium,
Có người già kẹt,Critical,
Nước vào nhà,Medium,
Không thoát được,Critical,
Cứu với lũ lớn,High,
Cứu với lũ lớn,High,
Ngập sâu cứu hộ,Critical,
Ngập tới gối rồi,Medium,
Lũ mạnh quá,High,
Lũ bao vây rồi,High,
Xin cứu gấp,Critical,
Nhà chìm nước,Critical,
Có người già kẹt,Critical,
Ngập sâu cứu hộ,Critical,
Ngập tới gối rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Cứu với lũ lớn,High,
Nước dâng nhanh quá,High,
Không thoát được,Critical,
Kẹt cả nhà,Critical,
Lũ mạnh quá,High,
Kẹt trong nhà,Critical,
Không thoát được,Critical,
Kẹt trong nhà,Critical,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Cứu với lũ lớn,High,
Có trẻ nhỏ cứu,High,
Cứu với lũ lớn,High,
Nước vào nhà,Medium,
Lũ mạnh quá,High,
Ngập tới gối rồi,Medium,
Nước vào nhà,Medium,
Nước lên nhanh,High,
Kẹt trong nhà,Critical,
Lũ bao vây rồi,High,
Cứu với lũ lớn,High,
Nhà ngập rồi cứu,High,
Nước vào nhà,Medium,
Nước vào nhà,Medium,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Nhà ngập rồi cứu,High,
Ngập tới gối rồi,Medium,
Nước lên nhanh,High,
Điện cắt rồi,Medium,
Xin cứu gấp,Critical,
Lũ bao vây rồi,High,
Kẹt cả nhà,Critical,
Kẹt cả nhà,Critical,
Cứu với lũ lớn,High,
Ngập tới gối rồi,Medium,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Có trẻ nhỏ cứu,High,
Kẹt trong nhà,Critical,
Lũ mạnh quá,High,
Xin cứu gấp,Critical,
Lũ bao vây rồi,High,
Cứu với lũ lớn,High,
Nguy hiểm quá,Critical,
Ngập tới gối rồi,Medium,
Nhà ngập rồi cứu,High,
Ngập tới gối rồi,Medium,
Không liên lạc được,Medium,
Cứu với lũ lớn,High,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Kẹt trong nhà,Critical,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Cứu với lũ lớn,High,
Nước lên nhanh,High,
Không thoát được,Critical,
Lũ mạnh quá,High,
Có trẻ nhỏ cứu,High,
Không liên lạc được,Medium,
Xin cứu gấp,Critical,
Lũ bao vây rồi,High,
Xin cứu gấp,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt lũ cứu gấp,Critical,
Nước vào nhà,Medium,
Nhà chìm nước,Critical,
Nước lên nhanh,High,
Nhà chìm nước,Critical,
Kẹt cả nhà,Critical,
Điện cắt rồi,Medium,
Kẹt cả nhà,Critical,
Không thoát được,Critical,
Không liên lạc được,Medium,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Kẹt lũ cứu gấp,Critical,
Lũ mạnh quá,High,
Kẹt cả nhà,Critical,
Cứu với lũ lớn,High,
Nước lên nhanh,High,
Điện cắt rồi,Medium,
Có người già kẹt,Critical,
Kẹt cả nhà,Critical,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Nguy hiểm quá,Critical,
Ngập sâu cứu hộ,Critical,
Nhà chìm nước,Critical,
Lũ bao vây rồi,High,
Lũ mạnh quá,High,
Nhà chìm nước,Critical,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,High,
Không thoát được,Critical,
Nhà ngập rồi cứu,High,
Ngập tới gối rồi,Medium,
Nước dâng nhanh quá,High,
Cứu với lũ lớn,High,
Cứu với lũ lớn,High,
Ngập tới gối rồi,Medium,
Không thoát được,Critical,
Nước dâng nhanh quá,High,
Kẹt lũ cứu gấp,Critical,
Nước dâng nhanh quá,High,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Nước vào nhà,Medium,
Nước lên nhanh,High,
Kẹt cả nhà,Critical,
Có người già kẹt,Critical,
Ngập sâu cứu hộ,Critical,
Cứu với lũ lớn,High,
Nước lên nhanh,High,
Nước dâng nhanh quá,High,
Lũ bao vây rồi,High,
Ngập sâu cứu hộ,Critical,
Nước dâng nhanh quá,High,
Không liên lạc được,Medium,
Kẹt cả nhà,Critical,
Nhà chìm nước,Critical,
Xin cứu gấp,Critical,
Ngập tới gối rồi,Medium,
Không liên lạc được,Medium,
Lũ bao vây rồi,High,
Cứu với lũ lớn,High,
Nhà ngập rồi cứu,High,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Lũ bao vây rồi,High,
Nguy hiểm quá,Critical,
Lũ bao vây rồi,High,
Nhà ngập rồi cứu,High,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Kẹt lũ cứu gấp,Critical,
Nhà chìm nước,Critical,
Kẹt trong nhà,Critical,
Nước dâng nhanh quá,High,
Có trẻ nhỏ cứu,High,
Có trẻ nhỏ cứu,High,
Nhà ngập rồi cứu,High,
Nước vào nhà,Medium,
Có người già kẹt,Critical,
Nguy hiểm quá,Critical,
Kẹt trong nhà,Critical,
Ngập tới gối rồi,Medium,
Nước dâng nhanh quá,High,
Nhà chìm nước,Critical,
Không thoát được,Critical,
Ngập tới gối rồi,Medium,
Điện cắt rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Nhà ngập rồi cứu,High,
Nước dâng nhanh quá,High,
Xin cứu gấp,Critical,
Ngập sâu cứu hộ,High,
Nhà ngập rồi cứu,High,
Ngập sâu cứu hộ,Critical,
Nguy hiểm quá,Critical,
Ngập tới gối rồi,Medium,
Nhà ngập rồi cứu,High,
Xin cứu gấp,Critical,
Lũ bao vây rồi,High,
Ngập sâu cứu hộ,Critical,
Điện cắt rồi,Medium,
Điện cắt rồi,Medium,
Nhà chìm nước,Critical,
Xin cứu gấp,Critical,
Không thoát được,Critical,
Nước vào nhà,Medium,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Nước dâng nhanh quá,High,
Lũ bao vây rồi,High,
Nhà chìm nước,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt trong nhà,Critical,
Cứu với lũ lớn,High,
Nước lên nhanh,High,
Kẹt cả nhà,Critical,
Cứu với lũ lớn,High,
Nước vào nhà,Medium,
Điện cắt rồi,Medium,
Điện cắt rồi,Medium,
Nước dâng nhanh quá,High,
Không liên lạc được,Medium,
Nhà ngập rồi cứu,High,
Ngập tới gối rồi,Medium,
Cứu với lũ lớn,High,
Không thoát được,Critical,
Ngập tới gối rồi,Medium,
Kẹt cả nhà,Critical,
Nhà ngập rồi cứu,High,
Có người già kẹt,Critical,
Điện cắt rồi,Medium,
Lũ bao vây rồi,High,
Lũ bao vây rồi,High,
Kẹt trong nhà,Critical,
Có trẻ nhỏ cứu,High,
Nguy hiểm quá,Critical,
Lũ mạnh quá,High,
Không liên lạc được,Medium,
Có người già kẹt,Critical,
Kẹt trong nhà,Critical,
Kẹt trong nhà,Critical,
Nước lên nhanh,High,
Kẹt lũ cứu gấp,Critical,
Nhà chìm nước,Critical,
Kẹt lũ cứu gấp,Critical,
Nước lên nhanh,High,
Kẹt trong nhà,Critical,
Không thoát được,Critical,
Cứu với lũ lớn,High,
Không thoát được,Critical,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Nước lên nhanh,High,
Lũ bao vây rồi,High,
Kẹt trong nhà,Critical,
Điện cắt rồi,Medium,
Nước lên nhanh,High,
Không thoát được,Critical,
Không thoát được,Critical,
Lũ bao vây rồi,High,
Kẹt lũ cứu gấp,Critical,
Cứu với lũ lớn,High,
Có người già kẹt,Critical,
Lũ mạnh quá,High,
Lũ bao vây rồi,High,
Điện cắt rồi,Medium,
Nhà ngập rồi cứu,High,
Không liên lạc được,Medium,
Nước lên nhanh,High,
Ngập sâu cứu hộ,Critical,
Không liên lạc được,High,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Điện cắt rồi,Medium,
Kẹt trong nhà,Critical,
Nhà chìm nước,Critical,
Nước dâng nhanh quá,High,
Lũ mạnh quá,High,
Nước vào nhà,Medium,
Kẹt lũ cứu gấp,Critical,
Nguy hiểm quá,Critical,
Kẹt trong nhà,Critical,
Nhà chìm nước,Critical,
Ngập sâu cứu hộ,Critical,
Không liên lạc được,Medium,
Lũ mạnh quá,High,
Nguy hiểm quá,Critical,
Xin cứu gấp,Critical,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Nhà chìm nước,Critical,
Nước dâng nhanh quá,High,
Nước dâng nhanh quá,High,
Nhà ngập rồi cứu,High,
Xin cứu gấp,Critical,
Lũ bao vây rồi,High,
Ngập sâu cứu hộ,Critical,
Xin cứu gấp,Critical,
Ngập tới gối rồi,Medium,
Có trẻ nhỏ cứu,High,
Nhà chìm nước,Critical,
Ngập tới gối rồi,Medium,
Lũ mạnh quá,High,
Nguy hiểm quá,Critical,
Điện cắt rồi,Medium,
Ngập sâu cứu hộ,Critical,
Nước vào nhà,Medium,
Nước lên nhanh,High,
Ngập tới gối rồi,Medium,
Không liên lạc được,Medium,
Kẹt cả nhà,Critical,
Nước lên nhanh,High,
Cứu với lũ lớn,High,
Nước dâng nhanh quá,High,
Có người già kẹt,Critical,
Điện cắt rồi,Medium,
Nước vào nhà,Medium,
Ngập tới gối rồi,Medium,
Nguy hiểm quá,Critical,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,Critical,
Lũ mạnh quá,High,
Nhà chìm nước,Critical,
Điện cắt rồi,Medium,
Lũ bao vây rồi,High,
Kẹt lũ cứu gấp,Critical,
Nước vào nhà,Medium,
Xin cứu gấp,Critical,
Kẹt cả nhà,Critical,
Lũ bao vây rồi,High,
Không liên lạc được,Medium,
Cứu với lũ lớn,High,
Không liên lạc được,Medium,
Nguy hiểm quá,Critical,
Lũ mạnh quá,High,
Nhà chìm nước,Critical,
Nước vào nhà,Medium,
Có người già kẹt,Critical,
Lũ mạnh quá,High,
Ngập sâu cứu hộ,Critical,
Nhà ngập rồi cứu,High,
Không thoát được,Critical,
Không liên lạc được,Medium,
Lũ bao vây rồi,High,
Lũ bao vây rồi,High,
Ngập tới gối rồi,Medium,
Lũ mạnh quá,High,
Kẹt lũ cứu gấp,Critical,
Cứu với lũ lớn,High,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Nhà chìm nước,Critical,
Nước vào nhà,Medium,
Ngập tới gối rồi,Medium,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Không liên lạc được,Medium,
Kẹt lũ cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Không liên lạc được,Medium,
Nước dâng nhanh quá,High,
Nhà ngập rồi cứu,High,
Lũ mạnh quá,High,
Kẹt trong nhà,Critical,
Không thoát được,Critical,
Nhà ngập rồi cứu,High,
Nước vào nhà,Medium,
Lũ mạnh quá,High,
Lũ mạnh quá,High,
Kẹt cả nhà,Critical,
Nguy hiểm quá,Critical,
Kẹt cả nhà,Critical,
Xin cứu gấp,Critical,
Nước lên nhanh,High,
Có trẻ nhỏ cứu,High,
Lũ bao vây rồi,High,
Lũ mạnh quá,High,
Ngập sâu cứu hộ,Critical,
Xin cứu gấp,Critical,
Kẹt trong nhà,Critical,
Kẹt trong nhà,Critical,
Nguy hiểm quá,Critical,
Không thoát được,Critical,
Ngập tới gối rồi,Medium,
Nước vào nhà,Medium,
Cứu với lũ lớn,High,
Ngập tới gối rồi,Medium,
Kẹt trong nhà,Critical,
Ngập sâu cứu hộ,Critical,
Nhà chìm nước,Critical,
Điện cắt rồi,Medium,
Điện cắt rồi,Medium,
Nước lên nhanh,High,
Nước vào nhà,Medium,
Xin cứu gấp,Critical,
Không thoát được,Critical,
Nước lên nhanh,High,
Nước vào nhà,Medium,
Nước lên nhanh,High,
Điện cắt rồi,Medium,
Nhà chìm nước,Critical,
Không liên lạc được,Medium,
Cứu với lũ lớn,High,
Ngập sâu cứu hộ,Critical,
Nhà ngập rồi cứu,High,
Nước vào nhà,Medium,
Ngập tới gối rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Xin cứu gấp,Critical,
Kẹt trong nhà,Critical,
Kẹt trong nhà,Critical,
Nước dâng nhanh quá,High,
Nguy hiểm quá,Critical,
Xin cứu gấp,Critical,
Nước lên nhanh,High,
Nguy hiểm quá,Critical,
Nước lên nhanh,High,
Nước vào nhà,Medium,
Lũ mạnh quá,High,
Cứu với lũ lớn,High,
Ngập tới gối rồi,Medium,
Điện cắt rồi,Medium,
Không thoát được,Critical,
Nước dâng nhanh quá,High,
Có người già kẹt,Critical,
Có người già kẹt,Critical,
Nước dâng nhanh quá,High,
Không liên lạc được,Medium,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Kẹt cả nhà,Critical,
Ngập tới gối rồi,Medium,
Cứu với lũ lớn,High,
Cứu với lũ lớn,High,
Lũ mạnh quá,High,
Nhà chìm nước,Critical,
Không liên lạc được,Medium,
Có người già kẹt,Critical,
Kẹt cả nhà,Critical,
Nhà chìm nước,Critical,
Nhà ngập rồi cứu,High,
Nguy hiểm quá,Critical,
Nước vào nhà,Medium,
Có trẻ nhỏ cứu,High,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Xin cứu gấp,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt lũ cứu gấp,Critical,
Có người già kẹt,Critical,
Điện cắt rồi,Medium,
Nước dâng nhanh quá,High,
Kẹt trong nhà,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt cả nhà,Critical,
Có người già kẹt,Critical,
Xin cứu gấp,Critical,
Kẹt trong nhà,Critical,
Cứu với lũ lớn,High,
Nhà ngập rồi cứu,High,
Ngập tới gối rồi,Medium,
Kẹt trong nhà,Critical,
Điện cắt rồi,Medium,
Điện cắt rồi,Medium,
Cứu với lũ lớn,High,
Kẹt cả nhà,Critical,
Không liên lạc được,Medium,
Kẹt cả nhà,Critical,
Kẹt trong nhà,Critical,
Lũ mạnh quá,High,
Nước dâng nhanh quá,High,
Nước lên nhanh,High,
Nguy hiểm quá,Critical,
Nguy hiểm quá,Critical,
Nhà ngập rồi cứu,High,
Nước dâng nhanh quá,High,
Xin cứu gấp,Critical,
Cứu với lũ lớn,High,
Lũ mạnh quá,High,
Nước vào nhà,Medium,
Kẹt trong nhà,Critical,
Điện cắt rồi,Medium,
Lũ mạnh quá,High,
Nước vào nhà,Medium,
Nguy hiểm quá,Critical,
Nguy hiểm quá,Critical,
Kẹt lũ cứu gấp,Critical,
Kẹt trong nhà,Critical,
Nguy hiểm quá,Critical,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Nước dâng nhanh quá,High,
Có người già kẹt,Critical,
Kẹt lũ cứu gấp,Critical,
Nguy hiểm quá,Critical,
Lũ mạnh quá,High,
Nước vào nhà,Medium,
Nước lên nhanh,High,
Nhà ngập rồi cứu,High,
Kẹt trong nhà,Critical,
Lũ mạnh quá,High,
Kẹt trong nhà,Critical,
Nhà ngập rồi cứu,High,
Kẹt trong nhà,Critical,
Lũ bao vây rồi,High,
Nước vào nhà,Medium,
Có trẻ nhỏ cứu,High,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Kẹt lũ cứu gấp,Critical,
Cứu với lũ lớn,High,
Xin cứu gấp,Critical,
Ngập tới gối rồi,Medium,
Kẹt cả nhà,Critical,
Nước dâng nhanh quá,High,
Ngập tới gối rồi,Medium,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Ngập sâu cứu hộ,Critical,
Xin cứu gấp,Critical,
Kẹt cả nhà,Critical,
Kẹt trong nhà,Critical,
Cứu với lũ lớn,High,
Kẹt cả nhà,Critical,
Không thoát được,Critical,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Không thoát được,Critical,
Ngập sâu cứu hộ,Critical,
Nhà ngập rồi cứu,High,
Nguy hiểm quá,Critical,
Xin cứu gấp,Critical,
Có trẻ nhỏ cứu,High,
Nước vào nhà,Medium,
Nước lên nhanh,High,
Nước lên nhanh,High,
Lũ mạnh quá,High,
Không thoát được,Critical,
Cứu với lũ lớn,High,
Kẹt cả nhà,Critical,
Ngập sâu cứu hộ,Critical,
Điện cắt rồi,Medium,
Không liên lạc được,Medium,
Nhà chìm nước,Critical,
Không thoát được,Critical,
Không thoát được,Critical,
Cứu với lũ lớn,High,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Điện cắt rồi,Medium,
Xin cứu gấp,Critical,
Nước dâng nhanh quá,High,
Không liên lạc được,Medium,
Nhà ngập rồi cứu,High,
Nguy hiểm quá,Critical,
Điện cắt rồi,Medium,
Điện cắt rồi,Medium,
Kẹt cả nhà,Critical,
Kẹt lũ cứu gấp,Critical,
Lũ bao vây rồi,High,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Điện cắt rồi,Medium,
Nước vào nhà,Medium,
Có trẻ nhỏ cứu,High,
Kẹt lũ cứu gấp,Critical,
Lũ mạnh quá,High,
Nước vào nhà,Medium,
Không liên lạc được,Medium,
Cứu với lũ lớn,Medium,
Lũ bao vây rồi,High,
Có trẻ nhỏ cứu,High,
Nước vào nhà,Medium,
Có trẻ nhỏ cứu,High,
Kẹt lũ cứu gấp,Critical,
Lũ mạnh quá,High,
Nước dâng nhanh quá,High,
Có người già kẹt,Critical,
Kẹt cả nhà,Critical,
Nhà ngập rồi cứu,High,
Kẹt lũ cứu gấp,Critical,
Ngập tới gối rồi,Medium,
Nước lên nhanh,High,
Có trẻ nhỏ cứu,High,
Điện cắt rồi,Medium,
Không liên lạc được,Medium,
Kẹt trong nhà,Critical,
Điện cắt rồi,Medium,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Ngập tới gối rồi,Medium,
Nước vào nhà,Medium,
Có người già kẹt,Critical,
Lũ mạnh quá,High,
Nguy hiểm quá,Critical,
Kẹt trong nhà,Critical,
Lũ mạnh quá,High,
Nhà ngập rồi cứu,High,
Kẹt trong nhà,Critical,
Nhà ngập rồi cứu,High,
Có trẻ nhỏ cứu,High,
Nước vào nhà,Medium,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Không thoát được,Critical,
Nước vào nhà,Medium,
Ngập tới gối rồi,Medium,
Không thoát được,Critical,
Không liên lạc được,Medium,
Nhà chìm nước,Critical,
Xin cứu gấp,Critical,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Lũ mạnh quá,High,
Ngập tới gối rồi,Medium,
Kẹt trong nhà,Critical,
Nước dâng nhanh quá,High,
Nước dâng nhanh quá,High,
Không thoát được,Critical,
Không liên lạc được,Medium,
Nước lên nhanh,High,
Nhà chìm nước,Critical,
Kẹt trong nhà,Critical,
Nhà ngập rồi cứu,High,
Cứu với lũ lớn,High,
Cứu với lũ lớn,High,
Kẹt trong nhà,Critical,
Kẹt trong nhà,Critical,
Nhà ngập rồi cứu,High,
Có trẻ nhỏ cứu,High,
Nước dâng nhanh quá,High,
Lũ bao vây rồi,High,
Cứu với lũ lớn,High,
Có người già kẹt,Critical,
Kẹt trong nhà,Critical,
Kẹt lũ cứu gấp,Critical,
Cứu với lũ lớn,High,
Điện cắt rồi,Medium,
Có trẻ nhỏ cứu,High,
Kẹt cả nhà,Critical,
Kẹt lũ cứu gấp,Critical,
Xin cứu gấp,Critical,
Kẹt lũ cứu gấp,Critical,
Nhà chìm nước,Critical,
Nước dâng nhanh quá,High,
Lũ bao vây rồi,High,
Kẹt trong nhà,Critical,
Nước dâng nhanh quá,High,
Kẹt lũ cứu gấp,Critical,
Nước dâng nhanh quá,High,
Ngập sâu cứu hộ,Critical,
Kẹt cả nhà,Critical,
Nguy hiểm quá,Critical,
Nhà chìm nước,Critical,
Lũ mạnh quá,High,
Không liên lạc được,Medium,
Ngập tới gối rồi,Medium,
Không thoát được,Critical,
Kẹt trong nhà,Critical,
Nhà ngập rồi cứu,High,
Nguy hiểm quá,Critical,
Kẹt trong nhà,Critical,
Nhà ngập rồi cứu,High,
Nguy hiểm quá,Critical,
Kẹt cả nhà,Critical,
Không thoát được,Critical,
Kẹt cả nhà,Critical,
Điện cắt rồi,Medium,
Nước dâng nhanh quá,High,
Nguy hiểm quá,Critical,
Kẹt cả nhà,Critical,
Có trẻ nhỏ cứu,High,
Không liên lạc được,Medium,
Điện cắt rồi,Medium,
Kẹt cả nhà,Critical,
Nước vào nhà,Medium,
Kẹt cả nhà,Critical,
Nhà chìm nước,Critical,
Ngập sâu cứu hộ,Critical,
Nhà ngập rồi cứu,High,
Không thoát được,Critical,
Nguy hiểm quá,Critical,
Nguy hiểm quá,Critical,
Không thoát được,Critical,
Kẹt trong nhà,Critical,
Nhà chìm nước,Critical,
Nước lên nhanh,High,
Ngập sâu cứu hộ,Critical,
Nước dâng nhanh quá,High,
Nước lên nhanh,High,
Không liên lạc được,Medium,
Lũ mạnh quá,High,
Xin cứu gấp,Critical,
Xin cứu gấp,Critical,
Ngập sâu cứu hộ,Critical,
Nước vào nhà,Medium,
Không thoát được,Critical,
Ngập sâu cứu hộ,Critical,
Không liên lạc được,Medium,
Nước dâng nhanh quá,High,
Nước lên nhanh,High,
Không thoát được,Critical,
Kẹt cả nhà,Critical,
Nước lên nhanh,High,
Nước lên nhanh,High,
Nước lên nhanh,High,
Ngập sâu cứu hộ,Critical,
Kẹt lũ cứu gấp,Critical,
Cứu với lũ lớn,High,
Nhà ngập rồi cứu,High,
Điện cắt rồi,Medium,
Lũ mạnh quá,High,
Nước lên nhanh,High,
Nước vào nhà,Medium,
Có người già kẹt,Critical,
Kẹt lũ cứu gấp,Critical,
Không liên lạc được,Medium,
Nước dâng nhanh quá,High,
Kẹt trong nhà,Critical,
Lũ bao vây rồi,High,
Kẹt lũ cứu gấp,Critical,
Có người già kẹt,Critical,
Nhà ngập rồi cứu,High,
Ngập tới gối rồi,Medium,
Kẹt lũ cứu gấp,Critical,
Nhà chìm nước,Critical,
Nhà chìm nước,Critical,
Lũ bao vây rồi,High,
Cứu với lũ lớn,High,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Nước dâng nhanh quá,High,
Kẹt lũ cứu gấp,Critical,
Cứu với lũ lớn,High,
Nước dâng nhanh quá,High,
Lũ bao vây rồi,High,
Có trẻ nhỏ cứu,High,
Không thoát được,Critical,
Kẹt trong nhà,Critical,
Ngập tới gối rồi,Medium,
Lũ mạnh quá,High,
Không liên lạc được,Medium,
Có người già kẹt,Critical,
Xin cứu gấp,Critical,
Điện cắt rồi,Medium,
Kẹt trong nhà,Critical,
Kẹt cả nhà,Critical,
Có người già kẹt,Critical,
Cứu với lũ lớn,High,
Nguy hiểm quá,Critical,
Nước vào nhà,Medium,
Kẹt trong nhà,Critical,
Nước lên nhanh,High,
Kẹt trong nhà,Critical,
Không thoát được,Critical,
Điện cắt rồi,Medium,
Kẹt trong nhà,Critical,
Nguy hiểm quá,Critical,
Lũ mạnh quá,High,
Nhà ngập rồi cứu,High,
Kẹt cả nhà,Critical,
Kẹt cả nhà,Critical,
Kẹt lũ cứu gấp,Critical,
Nước lên nhanh,High,
Nước dâng nhanh quá,High,
Không thoát được,Critical,
Có người già kẹt,Critical,
Nhà ngập rồi cứu,High,
Lũ bao vây rồi,High,
Xin cứu gấp,Critical,
Nguy hiểm quá,Critical,
Lũ bao vây rồi,High,
Không liên lạc được,Medium,
Có trẻ nhỏ cứu,High,
Nước lên nhanh,High,
Lũ mạnh quá,High,
Cứu với lũ lớn,High,
Ngập tới gối rồi,Medium,
Cứu với lũ lớn,High,
Kẹt trong nhà,Critical,
Kẹt cả nhà,Critical,
Kẹt trong nhà,Critical,
Kẹt trong nhà,Critical,
Có người già kẹt,Critical,
Kẹt trong nhà,Critical,
Kẹt cả nhà,Critical,
Cứu với lũ lớn,High,
Có người già kẹt,Critical,
Nước lên nhanh,High,
Kẹt cả nhà,Critical,
Nước lên nhanh,High,
Nước dâng nhanh quá,High,
Không thoát được,Critical,
Cứu với lũ lớn,High,
Có người già kẹt,Critical,
Nước lên nhanh,High,
Không thoát được,Critical,
Không liên lạc được,Medium,
Có người già kẹt,Critical,
Xin cứu gấp,Critical,
Lũ bao vây rồi,High,
Ngập sâu cứu hộ,Critical,
Lũ mạnh quá,High,
Xin cứu gấp,Critical,
Lũ mạnh quá,High,
Nước lên nhanh,High,
Kẹt trong nhà,Critical,
Ngập tới gối rồi,Medium,
Có người già kẹt,Critical,
Xin cứu gấp,Critical,
Nhà chìm nước,Critical,
Lũ mạnh quá,High,
Nhà chìm nước,Critical,
Lũ bao vây rồi,High,
Xin cứu gấp,Critical,
Ngập sâu cứu hộ,Critical,
Có người già kẹt,Critical,
Ngập tới gối rồi,Medium,
Có trẻ nhỏ cứu,High,
Lũ bao vây rồi,High,
Nhà chìm nước,Critical,
Kẹt trong nhà,Critical,
Có trẻ nhỏ cứu,High,
Không thoát được,Critical,
Ngập sâu cứu hộ,Critical,
Ngập sâu cứu hộ,Critical,
Nhà chìm nước,Critical,
Ngập sâu cứu hộ,Critical,
Kẹt trong nhà,Critical,
Không thoát được,Critical,
Nguy hiểm quá,Critical,
Không thoát được,Critical,
Kẹt cả nhà,Critical,
Nước dâng nhanh quá,High,
Không thoát được,Critical,
Kẹt lũ cứu gấp,Critical,
Nguy hiểm quá,Critical,
Không liên lạc được,Medium,
Ngập sâu cứu hộ,Critical,
Nước vào nhà,Medium,
Điện cắt rồi,Medium,
Có trẻ nhỏ cứu,High,
